Temperature (K)	Pressure (bar)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
259.14	23.585	22.794	0.043872	7.2693	7.3728	38.834	41.030	98.689	659.70	0.016441	126.20	0.12739	0.0073202	1.4241	0.70222	17.536	19.192	84.445	34.757	62.035	218.50	1.6419	13.548	0.016139
259.27	23.674	22.779	0.043899	7.2814	7.3854	38.881	41.029	98.773	658.64	0.016621	125.93	0.12724	0.0072933	1.4299	0.69934	17.536	19.191	84.417	34.786	62.165	218.45	1.6397	13.558	0.016163
259.40	23.764	22.765	0.043927	7.2936	7.3980	38.928	41.029	98.857	657.58	0.016802	125.66	0.12708	0.0072665	1.4358	0.69647	17.535	19.190	84.388	34.816	62.294	218.41	1.6376	13.567	0.016188
259.52	23.854	22.751	0.043955	7.3057	7.4105	38.975	41.029	98.941	656.52	0.016983	125.39	0.12692	0.0072398	1.4417	0.69363	17.534	19.189	84.360	34.845	62.424	218.36	1.6355	13.577	0.016213
259.65	23.943	22.736	0.043983	7.3177	7.4230	39.021	41.029	99.026	655.46	0.017165	125.12	0.12677	0.0072132	1.4476	0.69081	17.534	19.188	84.331	34.875	62.554	218.31	1.6334	13.587	0.016238
259.78	24.033	22.722	0.044011	7.3298	7.4355	39.068	41.029	99.110	654.40	0.017347	124.86	0.12662	0.0071867	1.4535	0.68800	17.533	19.187	84.303	34.904	62.685	218.27	1.6313	13.597	0.016263
259.91	24.123	22.707	0.044039	7.3418	7.4480	39.115	41.029	99.196	653.35	0.017529	124.59	0.12646	0.0071603	1.4594	0.68522	17.533	19.186	84.275	34.934	62.816	218.22	1.6292	13.606	0.016288
260.03	24.212	22.693	0.044066	7.3538	7.4605	39.161	41.029	99.281	652.30	0.017712	124.33	0.12631	0.0071340	1.4653	0.68245	17.532	19.184	84.247	34.963	62.948	218.17	1.6271	13.616	0.016313
260.16	24.302	22.679	0.044094	7.3657	7.4729	39.207	41.029	99.366	651.25	0.017896	124.07	0.12615	0.0071077	1.4712	0.67971	17.531	19.183	84.219	34.993	63.079	218.13	1.6250	13.626	0.016338
260.29	24.391	22.664	0.044122	7.3777	7.4853	39.253	41.030	99.452	650.20	0.018080	123.81	0.12600	0.0070816	1.4771	0.67698	17.531	19.182	84.191	35.022	63.211	218.08	1.6230	13.636	0.016363
260.41	24.481	22.650	0.044150	7.3896	7.4977	39.299	41.030	99.538	649.15	0.018264	123.55	0.12585	0.0070556	1.4831	0.67428	17.530	19.181	84.163	35.052	63.344	218.03	1.6209	13.646	0.016388
260.54	24.571	22.636	0.044178	7.4015	7.5100	39.345	41.031	99.625	648.10	0.018449	123.29	0.12570	0.0070296	1.4890	0.67159	17.529	19.179	84.135	35.081	63.477	217.98	1.6189	13.655	0.016413
260.66	24.660	22.622	0.044206	7.4134	7.5224	39.391	41.031	99.711	647.06	0.018634	123.03	0.12555	0.0070037	1.4949	0.66892	17.529	19.178	84.107	35.110	63.610	217.94	1.6168	13.665	0.016438
260.79	24.750	22.607	0.044233	7.4252	7.5347	39.437	41.032	99.798	646.01	0.018820	122.78	0.12540	0.0069779	1.5009	0.66627	17.528	19.177	84.079	35.140	63.744	217.89	1.6148	13.675	0.016463
260.91	24.840	22.593	0.044261	7.4370	7.5470	39.482	41.033	99.885	644.97	0.019006	122.52	0.12524	0.0069522	1.5069	0.66363	17.527	19.176	84.052	35.169	63.878	217.84	1.6128	13.684	0.016489
261.04	24.929	22.579	0.044289	7.4488	7.5592	39.528	41.033	99.973	643.93	0.019193	122.27	0.12509	0.0069266	1.5128	0.66102	17.527	19.174	84.024	35.198	64.012	217.79	1.6107	13.694	0.016514
261.16	25.019	22.565	0.044317	7.4606	7.5715	39.573	41.034	100.06	642.89	0.019380	122.01	0.12494	0.0069011	1.5188	0.65842	17.526	19.173	83.996	35.228	64.147	217.74	1.6087	13.704	0.016539
261.29	25.108	22.550	0.044345	7.4723	7.5837	39.618	41.035	100.15	641.85	0.019567	121.76	0.12479	0.0068757	1.5248	0.65584	17.525	19.172	83.969	35.257	64.282	217.70	1.6067	13.714	0.016565
261.41	25.198	22.536	0.044373	7.4840	7.5959	39.664	41.036	100.24	640.82	0.019755	121.51	0.12465	0.0068504	1.5307	0.65328	17.524	19.170	83.941	35.286	64.418	217.65	1.6047	13.723	0.016590
261.53	25.288	22.522	0.044401	7.4957	7.6080	39.709	41.038	100.33	639.78	0.019944	121.26	0.12450	0.0068251	1.5367	0.65073	17.524	19.169	83.914	35.315	64.554	217.60	1.6027	13.733	0.016615
261.66	25.377	22.508	0.044429	7.5074	7.6202	39.753	41.039	100.41	638.75	0.020132	121.01	0.12435	0.0067999	1.5427	0.64821	17.523	19.168	83.886	35.345	64.690	217.55	1.6007	13.743	0.016641
261.78	25.467	22.494	0.044456	7.5191	7.6323	39.798	41.040	100.50	637.71	0.020322	120.77	0.12420	0.0067749	1.5487	0.64569	17.522	19.166	83.859	35.374	64.827	217.50	1.5988	13.753	0.016667
261.90	25.557	22.480	0.044484	7.5307	7.6444	39.843	41.042	100.59	636.68	0.020512	120.52	0.12405	0.0067499	1.5547	0.64320	17.521	19.165	83.832	35.403	64.964	217.45	1.5968	13.762	0.016692
262.02	25.646	22.466	0.044512	7.5423	7.6564	39.887	41.043	100.68	635.65	0.020702	120.27	0.12391	0.0067249	1.5607	0.64072	17.521	19.164	83.805	35.432	65.102	217.40	1.5948	13.772	0.016718
262.14	25.736	22.452	0.044540	7.5539	7.6685	39.932	41.045	100.77	634.62	0.020893	120.03	0.12376	0.0067001	1.5668	0.63826	17.520	19.162	83.777	35.461	65.240	217.36	1.5929	13.782	0.016743
262.26	25.825	22.438	0.044568	7.5654	7.6805	39.976	41.046	100.86	633.60	0.021084	119.79	0.12361	0.0066754	1.5728	0.63581	17.519	19.161	83.750	35.490	65.378	217.31	1.5909	13.792	0.016769
262.39	25.915	22.424	0.044596	7.5770	7.6925	40.021	41.048	100.95	632.57	0.021276	119.54	0.12347	0.0066507	1.5788	0.63338	17.518	19.160	83.723	35.520	65.517	217.26	1.5890	13.801	0.016795
262.51	26.005	22.410	0.044624	7.5885	7.7045	40.065	41.050	101.05	631.55	0.021468	119.30	0.12332	0.0066261	1.5849	0.63097	17.517	19.158	83.696	35.549	65.656	217.21	1.5871	13.811	0.016821
262.63	26.094	22.396	0.044652	7.6000	7.7165	40.109	41.052	101.14	630.52	0.021661	119.06	0.12318	0.0066016	1.5909	0.62857	17.516	19.157	83.669	35.578	65.796	217.16	1.5851	13.821	0.016847
262.75	26.184	22.382	0.044680	7.6114	7.7284	40.153	41.054	101.23	629.50	0.021854	118.82	0.12303	0.0065772	1.5970	0.62619	17.516	19.155	83.642	35.607	65.936	217.11	1.5832	13.830	0.016873
262.87	26.274	22.368	0.044708	7.6229	7.7404	40.196	41.056	101.32	628.48	0.022048	118.58	0.12289	0.0065528	1.6030	0.62382	17.515	19.154	83.615	35.636	66.077	217.06	1.5813	13.840	0.016899
262.99	26.363	22.354	0.044736	7.6343	7.7523	40.240	41.058	101.41	627.46	0.022242	118.35	0.12274	0.0065286	1.6091	0.62147	17.514	19.152	83.589	35.665	66.218	217.01	1.5794	13.850	0.016925
263.10	26.453	22.340	0.044764	7.6457	7.7641	40.284	41.060	101.51	626.44	0.022437	118.11	0.12260	0.0065044	1.6152	0.61913	17.513	19.151	83.562	35.694	66.359	216.96	1.5775	13.860	0.016951
263.22	26.542	22.326	0.044792	7.6571	7.7760	40.327	41.063	101.60	625.42	0.022632	117.87	0.12245	0.0064803	1.6213	0.61681	17.512	19.149	83.535	35.723	66.501	216.91	1.5756	13.869	0.016977
263.34	26.632	22.312	0.044819	7.6685	7.7878	40.371	41.065	101.69	624.41	0.022827	117.64	0.12231	0.0064563	1.6273	0.61450	17.511	19.148	83.508	35.752	66.643	216.86	1.5737	13.879	0.017003
263.46	26.722	22.298	0.044847	7.6798	7.7996	40.414	41.068	101.79	623.39	0.023024	117.41	0.12217	0.0064323	1.6334	0.61221	17.510	19.146	83.482	35.781	66.786	216.81	1.5719	13.889	0.017029
263.58	26.811	22.284	0.044875	7.6911	7.8114	40.457	41.070	101.88	622.38	0.023220	117.17	0.12203	0.0064085	1.6395	0.60993	17.509	19.145	83.455	35.810	66.929	216.76	1.5700	13.898	0.017055
263.70	26.901	22.270	0.044903	7.7024	7.8232	40.501	41.073	101.97	621.37	0.023418	116.94	0.12188	0.0063847	1.6456	0.60766	17.509	19.143	83.429	35.839	67.073	216.72	1.5681	13.908	0.017082
263.81	26.990	22.256	0.044931	7.7137	7.8350	40.544	41.076	102.07	620.36	0.023615	116.71	0.12174	0.0063610	1.6518	0.60541	17.508	19.142	83.402	35.868	67.217	216.67	1.5663	13.918	0.017108
263.93	27.080	22.242	0.044960	7.7250	7.8467	40.587	41.079	102.16	619.35	0.023813	116.48	0.12160	0.0063374	1.6579	0.60318	17.507	19.140	83.376	35.897	67.362	216.62	1.5644	13.928	0.017134
264.05	27.170	22.228	0.044988	7.7362	7.8584	40.629	41.081	102.26	618.34	0.024012	116.25	0.12146	0.0063138	1.6640	0.60096	17.506	19.139	83.349	35.926	67.507	216.57	1.5626	13.937	0.017161
264.16	27.259	22.215	0.045016	7.7474	7.8701	40.672	41.085	102.35	617.33	0.024211	116.02	0.12132	0.0062903	1.6702	0.59875	17.505	19.137	83.323	35.955	67.652	216.52	1.5607	13.947	0.017187
264.28	27.349	22.201	0.045044	7.7586	7.8818	40.715	41.088	102.45	616.33	0.024411	115.80	0.12118	0.0062669	1.6763	0.59655	17.504	19.135	83.297	35.983	67.798	216.47	1.5589	13.957	0.017214
264.40	27.439	22.187	0.045072	7.7698	7.8935	40.757	41.091	102.55	615.32	0.024611	115.57	0.12104	0.0062436	1.6824	0.59437	17.503	19.134	83.270	36.012	67.944	216.41	1.5571	13.966	0.017240
264.51	27.528	22.173	0.045100	7.7810	7.9051	40.800	41.094	102.64	614.32	0.024812	115.35	0.12090	0.0062203	1.6886	0.59220	17.502	19.132	83.244	36.041	68.091	216.36	1.5552	13.976	0.017267
264.63	27.618	22.159	0.045128	7.7921	7.9167	40.842	41.097	102.74	613.32	0.025014	115.12	0.12076	0.0061972	1.6948	0.59005	17.501	19.130	83.218	36.070	68.239	216.31	1.5534	13.986	0.017294
264.74	27.707	22.145	0.045156	7.8032	7.9283	40.885	41.101	102.84	612.32	0.025215	114.90	0.12062	0.0061740	1.7009	0.58791	17.500	19.129	83.192	36.099	68.387	216.26	1.5516	13.996	0.017321
264.86	27.797	22.132	0.045184	7.8143	7.9399	40.927	41.104	102.93	611.32	0.025418	114.67	0.12048	0.0061510	1.7071	0.58578	17.499	19.127	83.166	36.128	68.535	216.21	1.5498	14.005	0.017347
264.97	27.887	22.118	0.045212	7.8254	7.9515	40.969	41.108	103.03	610.32	0.025621	114.45	0.12034	0.0061281	1.7133	0.58367	17.498	19.126	83.140	36.156	68.684	216.16	1.5480	14.015	0.017374
265.09	27.976	22.104	0.045240	7.8364	7.9630	41.011	41.111	103.13	609.32	0.025824	114.23	0.12020	0.0061052	1.7195	0.58156	17.497	19.124	83.114	36.185	68.833	216.11	1.5462	14.025	0.017401
265.20	28.066	22.090	0.045268	7.8475	7.9745	41.053	41.115	103.23	608.33	0.026028	114.01	0.12007	0.0060824	1.7257	0.57947	17.496	19.122	83.088	36.214	68.983	216.06	1.5444	14.034	0.017428
265.31	28.156	22.077	0.045297	7.8585	7.9860	41.095	41.119	103.33	607.33	0.026233	113.79	0.11993	0.0060596	1.7319	0.57739	17.495	19.120	83.062	36.243	69.133	216.01	1.5426	14.044	0.017455
265.43	28.245	22.063	0.045325	7.8695	7.9975	41.137	41.123	103.43	606.34	0.026438	113.57	0.11979	0.0060369	1.7381	0.57533	17.494	19.119	83.036	36.272	69.284	215.96	1.5409	14.054	0.017482
265.54	28.335	22.049	0.045353	7.8805	8.0090	41.178	41.127	103.53	605.35	0.026643	113.36	0.11965	0.0060143	1.7444	0.57328	17.493	19.117	83.010	36.300	69.435	215.91	1.5391	14.064	0.017510
265.65	28.424	22.036	0.045381	7.8915	8.0205	41.220	41.131	103.63	604.36	0.026849	113.14	0.11952	0.0059918	1.7506	0.57124	17.492	19.115	82.984	36.329	69.587	215.86	1.5373	14.073	0.017537
265.77	28.514	22.022	0.045409	7.9024	8.0319	41.261	41.135	103.73	603.37	0.027056	112.92	0.11938	0.0059694	1.7568	0.56921	17.491	19.114	82.958	36.358	69.739	215.81	1.5356	14.083	0.017564
265.88	28.604	22.008	0.045438	7.9133	8.0433	41.303	41.139	103.83	602.38	0.027263	112.71	0.11925	0.0059470	1.7631	0.56719	17.489	19.112	82.933	36.387	69.892	215.76	1.5338	14.093	0.017591
265.99	28.693	21.995	0.045466	7.9243	8.0547	41.344	41.143	103.93	601.39	0.027471	112.49	0.11911	0.0059246	1.7693	0.56519	17.488	19.110	82.907	36.415	70.045	215.70	1.5321	14.103	0.017619
266.10	28.783	21.981	0.045494	7.9351	8.0661	41.385	41.148	104.03	600.41	0.027680	112.28	0.11897	0.0059024	1.7756	0.56319	17.487	19.108	82.881	36.444	70.199	215.65	1.5303	14.112	0.017646
266.21	28.873	21.967	0.045522	7.9460	8.0775	41.426	41.152	104.13	599.42	0.027889	112.07	0.11884	0.0058802	1.7819	0.56121	17.486	19.106	82.856	36.473	70.354	215.60	1.5286	14.122	0.017674
266.33	28.962	21.954	0.045551	7.9569	8.0888	41.468	41.157	104.23	598.44	0.028098	111.85	0.11870	0.0058581	1.7881	0.55924	17.485	19.105	82.830	36.501	70.509	215.55	1.5269	14.132	0.017701
266.44	29.052	21.940	0.045579	7.9677	8.1001	41.509	41.161	104.34	597.46	0.028308	111.64	0.11857	0.0058361	1.7944	0.55728	17.484	19.103	82.804	36.530	70.664	215.50	1.5251	14.142	0.017729
266.55	29.141	21.926	0.045607	7.9785	8.1114	41.549	41.166	104.44	596.48	0.028519	111.43	0.11844	0.0058141	1.8007	0.55534	17.483	19.101	82.779	36.559	70.820	215.45	1.5234	14.151	0.017757
266.66	29.231	21.913	0.045636	7.9893	8.1227	41.590	41.170	104.54	595.50	0.028730	111.22	0.11830	0.0057922	1.8070	0.55340	17.482	19.099	82.753	36.587	70.976	215.40	1.5217	14.161	0.017785
266.77	29.321	21.899	0.045664	8.0001	8.1340	41.631	41.175	104.65	594.52	0.028942	111.01	0.11817	0.0057703	1.8133	0.55147	17.480	19.097	82.728	36.616	71.134	215.34	1.5200	14.171	0.017812
266.88	29.410	21.886	0.045692	8.0109	8.1453	41.672	41.180	104.75	593.54	0.029154	110.81	0.11804	0.0057486	1.8196	0.54956	17.479	19.096	82.703	36.645	71.291	215.29	1.5183	14.181	0.017840
266.99	29.500	21.872	0.045721	8.0217	8.1565	41.712	41.185	104.85	592.56	0.029367	110.60	0.11790	0.0057269	1.8260	0.54766	17.478	19.094	82.677	36.673	71.449	215.24	1.5166	14.190	0.017868
267.10	29.590	21.858	0.045749	8.0324	8.1678	41.753	41.190	104.96	591.59	0.029580	110.39	0.11777	0.0057052	1.8323	0.54577	17.477	19.092	82.652	36.702	71.608	215.19	1.5149	14.200	0.017896
267.21	29.679	21.845	0.045777	8.0431	8.1790	41.793	41.195	105.06	590.61	0.029795	110.19	0.11764	0.0056836	1.8386	0.54388	17.476	19.090	82.627	36.731	71.767	215.14	1.5132	14.210	0.017924
267.32	29.769	21.831	0.045806	8.0538	8.1902	41.834	41.200	105.17	589.64	0.030009	109.98	0.11750	0.0056621	1.8450	0.54201	17.475	19.088	82.601	36.759	71.927	215.08	1.5115	14.220	0.017952
267.43	29.858	21.818	0.045834	8.0645	8.2014	41.874	41.205	105.28	588.67	0.030225	109.78	0.11737	0.0056407	1.8513	0.54015	17.473	19.086	82.576	36.788	72.088	215.03	1.5098	14.230	0.017981
267.53	29.948	21.804	0.045863	8.0752	8.2125	41.914	41.211	105.38	587.70	0.030440	109.57	0.11724	0.0056193	1.8577	0.53830	17.472	19.084	82.551	36.817	72.249	214.98	1.5081	14.239	0.018009
267.64	30.038	21.791	0.045891	8.0858	8.2237	41.954	41.216	105.49	586.73	0.030657	109.37	0.11711	0.0055980	1.8641	0.53646	17.471	19.082	82.526	36.845	72.410	214.93	1.5065	14.249	0.018037
267.75	30.127	21.777	0.045920	8.0965	8.2348	41.994	41.221	105.60	585.76	0.030874	109.17	0.11698	0.0055767	1.8704	0.53463	17.470	19.080	82.500	36.874	72.572	214.88	1.5048	14.259	0.018066
267.86	30.217	21.764	0.045948	8.1071	8.2459	42.034	41.227	105.70	584.80	0.031092	108.97	0.11685	0.0055556	1.8768	0.53282	17.468	19.078	82.475	36.903	72.735	214.82	1.5031	14.269	0.018094
267.97	30.306	21.750	0.045977	8.1177	8.2570	42.074	41.232	105.81	583.83	0.031310	108.76	0.11672	0.0055344	1.8832	0.53101	17.467	19.076	82.450	36.931	72.899	214.77	1.5015	14.279	0.018123
268.07	30.396	21.737	0.046005	8.1283	8.2681	42.114	41.238	105.92	582.87	0.031529	108.56	0.11659	0.0055134	1.8896	0.52921	17.466	19.075	82.425	36.960	73.062	214.72	1.4998	14.288	0.018151
268.18	30.486	21.723	0.046034	8.1388	8.2792	42.154	41.244	106.03	581.90	0.031748	108.36	0.11646	0.0054924	1.8960	0.52742	17.465	19.073	82.400	36.988	73.227	214.67	1.4982	14.298	0.018180
268.29	30.575	21.710	0.046062	8.1494	8.2902	42.193	41.249	106.14	580.94	0.031968	108.17	0.11633	0.0054714	1.9024	0.52564	17.463	19.071	82.375	37.017	73.392	214.61	1.4965	14.308	0.018209
