Temperature (K)	Pressure (bar)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
253.65	20.000	23.389	0.042755	6.7589	6.8444	36.834	41.109	95.545	703.64	0.0095569	138.19	0.13404	0.0084826	1.1938	0.83764	17.550	19.226	85.647	33.559	57.136	220.27	1.7353	13.150	0.015173
253.79	20.090	23.374	0.042783	6.7723	6.8583	36.887	41.106	95.619	702.50	0.0097216	137.86	0.13386	0.0084513	1.1995	0.83369	17.550	19.225	85.615	33.590	57.253	220.23	1.7327	13.160	0.015197
253.94	20.179	23.359	0.042811	6.7857	6.8721	36.940	41.102	95.693	701.37	0.0098866	137.53	0.13369	0.0084201	1.2051	0.82978	17.550	19.225	85.583	33.620	57.370	220.18	1.7302	13.170	0.015220
254.08	20.269	23.343	0.042839	6.7990	6.8859	36.992	41.099	95.768	700.23	0.010052	137.20	0.13351	0.0083890	1.2108	0.82590	17.550	19.224	85.552	33.650	57.487	220.14	1.7276	13.180	0.015244
254.23	20.358	23.328	0.042867	6.8123	6.8996	37.045	41.096	95.842	699.10	0.010218	136.88	0.13333	0.0083581	1.2165	0.82206	17.550	19.223	85.521	33.680	57.604	220.10	1.7251	13.190	0.015268
254.37	20.448	23.313	0.042895	6.8256	6.9133	37.097	41.093	95.917	697.97	0.010384	136.55	0.13316	0.0083273	1.2221	0.81825	17.550	19.223	85.489	33.711	57.722	220.06	1.7226	13.200	0.015291
254.51	20.538	23.298	0.042923	6.8388	6.9270	37.149	41.089	95.993	696.84	0.010550	136.23	0.13299	0.0082966	1.2278	0.81446	17.549	19.222	85.458	33.741	57.840	220.02	1.7201	13.210	0.015315
254.66	20.627	23.282	0.042951	6.8520	6.9406	37.201	41.086	96.068	695.72	0.010717	135.91	0.13281	0.0082660	1.2335	0.81071	17.549	19.222	85.427	33.771	57.958	219.97	1.7177	13.221	0.015339
254.80	20.717	23.267	0.042979	6.8651	6.9542	37.253	41.083	96.144	694.59	0.010884	135.59	0.13264	0.0082355	1.2392	0.80699	17.549	19.221	85.396	33.801	58.077	219.93	1.7152	13.231	0.015363
254.94	20.807	23.252	0.043007	6.8783	6.9678	37.305	41.081	96.220	693.47	0.011052	135.27	0.13247	0.0082052	1.2449	0.80330	17.549	19.220	85.365	33.831	58.195	219.89	1.7127	13.241	0.015387
255.08	20.896	23.237	0.043035	6.8914	6.9813	37.357	41.078	96.296	692.35	0.011220	134.96	0.13230	0.0081750	1.2506	0.79965	17.549	19.220	85.334	33.861	58.315	219.85	1.7103	13.251	0.015410
255.22	20.986	23.222	0.043063	6.9044	6.9948	37.408	41.075	96.372	691.24	0.011388	134.64	0.13213	0.0081449	1.2563	0.79602	17.548	19.219	85.303	33.892	58.434	219.80	1.7079	13.261	0.015434
255.37	21.075	23.207	0.043091	6.9174	7.0082	37.459	41.072	96.449	690.12	0.011557	134.33	0.13196	0.0081149	1.2620	0.79242	17.548	19.218	85.272	33.922	58.554	219.76	1.7055	13.271	0.015458
255.51	21.165	23.192	0.043119	6.9304	7.0217	37.510	41.070	96.525	689.01	0.011726	134.02	0.13179	0.0080851	1.2677	0.78885	17.548	19.217	85.242	33.952	58.674	219.72	1.7030	13.281	0.015482
255.65	21.255	23.177	0.043147	6.9434	7.0351	37.561	41.067	96.602	687.90	0.011896	133.71	0.13162	0.0080553	1.2734	0.78530	17.547	19.217	85.211	33.982	58.794	219.67	1.7006	13.291	0.015506
255.78	21.344	23.162	0.043175	6.9563	7.0484	37.612	41.065	96.680	686.79	0.012065	133.41	0.13145	0.0080257	1.2791	0.78179	17.547	19.216	85.181	34.012	58.915	219.63	1.6983	13.301	0.015530
255.92	21.434	23.147	0.043203	6.9692	7.0618	37.662	41.063	96.757	685.69	0.012236	133.10	0.13128	0.0079962	1.2848	0.77830	17.547	19.215	85.151	34.042	59.036	219.59	1.6959	13.311	0.015554
256.06	21.524	23.132	0.043231	6.9820	7.0751	37.713	41.060	96.835	684.58	0.012406	132.80	0.13111	0.0079668	1.2906	0.77485	17.547	19.214	85.120	34.072	59.157	219.54	1.6935	13.321	0.015578
256.20	21.613	23.117	0.043259	6.9948	7.0883	37.763	41.058	96.913	683.48	0.012577	132.49	0.13094	0.0079375	1.2963	0.77141	17.546	19.213	85.090	34.102	59.279	219.50	1.6912	13.331	0.015602
256.34	21.703	23.102	0.043287	7.0076	7.1016	37.813	41.056	96.991	682.38	0.012749	132.19	0.13078	0.0079083	1.3021	0.76801	17.546	19.213	85.060	34.132	59.401	219.45	1.6888	13.341	0.015626
256.48	21.792	23.087	0.043314	7.0204	7.1148	37.863	41.054	97.069	681.28	0.012920	131.89	0.13061	0.0078792	1.3078	0.76463	17.546	19.212	85.030	34.162	59.523	219.41	1.6865	13.351	0.015650
256.61	21.882	23.072	0.043342	7.0331	7.1280	37.913	41.052	97.148	680.19	0.013093	131.59	0.13045	0.0078503	1.3136	0.76128	17.545	19.211	85.000	34.192	59.645	219.37	1.6842	13.360	0.015674
256.75	21.972	23.057	0.043370	7.0458	7.1411	37.963	41.050	97.227	679.09	0.013265	131.30	0.13028	0.0078215	1.3193	0.75796	17.545	19.210	84.970	34.222	59.768	219.32	1.6819	13.370	0.015699
256.88	22.061	23.042	0.043398	7.0585	7.1542	38.012	41.048	97.306	678.00	0.013438	131.00	0.13012	0.0077927	1.3251	0.75466	17.544	19.209	84.940	34.252	59.891	219.28	1.6795	13.380	0.015723
257.02	22.151	23.028	0.043426	7.0711	7.1673	38.062	41.047	97.386	676.91	0.013611	130.71	0.12995	0.0077641	1.3309	0.75138	17.544	19.208	84.911	34.281	60.015	219.23	1.6773	13.390	0.015747
257.16	22.241	23.013	0.043454	7.0837	7.1804	38.111	41.045	97.465	675.82	0.013785	130.42	0.12979	0.0077356	1.3367	0.74813	17.544	19.207	84.881	34.311	60.139	219.19	1.6750	13.400	0.015771
257.29	22.330	22.998	0.043482	7.0963	7.1934	38.160	41.043	97.545	674.73	0.013959	130.13	0.12963	0.0077072	1.3424	0.74491	17.543	19.207	84.851	34.341	60.263	219.14	1.6727	13.410	0.015795
257.42	22.420	22.983	0.043510	7.1088	7.2064	38.209	41.042	97.625	673.65	0.014134	129.84	0.12946	0.0076789	1.3482	0.74171	17.543	19.206	84.822	34.371	60.387	219.10	1.6704	13.420	0.015820
257.56	22.509	22.969	0.043537	7.1214	7.2194	38.258	41.040	97.705	672.56	0.014309	129.55	0.12930	0.0076507	1.3540	0.73854	17.542	19.205	84.793	34.401	60.512	219.05	1.6682	13.430	0.015844
257.69	22.599	22.954	0.043565	7.1338	7.2323	38.307	41.039	97.786	671.48	0.014484	129.26	0.12914	0.0076226	1.3598	0.73538	17.542	19.204	84.763	34.430	60.637	219.01	1.6659	13.440	0.015868
257.83	22.689	22.939	0.043593	7.1463	7.2452	38.355	41.038	97.867	670.40	0.014660	128.98	0.12898	0.0075946	1.3656	0.73226	17.541	19.203	84.734	34.460	60.762	218.96	1.6637	13.449	0.015893
257.96	22.778	22.925	0.043621	7.1587	7.2581	38.404	41.037	97.948	669.32	0.014836	128.69	0.12882	0.0075667	1.3715	0.72915	17.541	19.202	84.705	34.490	60.888	218.92	1.6615	13.459	0.015917
258.09	22.868	22.910	0.043649	7.1711	7.2709	38.452	41.036	98.029	668.25	0.015013	128.41	0.12866	0.0075389	1.3773	0.72607	17.540	19.201	84.676	34.520	61.014	218.87	1.6593	13.469	0.015942
258.22	22.958	22.895	0.043677	7.1835	7.2838	38.500	41.035	98.111	667.17	0.015190	128.13	0.12850	0.0075112	1.3831	0.72301	17.540	19.200	84.647	34.549	61.141	218.82	1.6571	13.479	0.015966
258.35	23.047	22.881	0.043705	7.1958	7.2966	38.548	41.034	98.193	666.10	0.015367	127.85	0.12834	0.0074836	1.3889	0.71998	17.539	19.199	84.618	34.579	61.268	218.78	1.6549	13.489	0.015991
258.49	23.137	22.866	0.043732	7.2081	7.3093	38.596	41.033	98.275	665.03	0.015545	127.57	0.12818	0.0074562	1.3948	0.71696	17.539	19.198	84.589	34.609	61.395	218.73	1.6527	13.499	0.016015
258.62	23.226	22.852	0.043760	7.2204	7.3221	38.644	41.032	98.357	663.96	0.015723	127.30	0.12802	0.0074288	1.4006	0.71397	17.538	19.197	84.560	34.638	61.522	218.69	1.6505	13.509	0.016040
258.75	23.316	22.837	0.043788	7.2327	7.3348	38.692	41.031	98.440	662.89	0.015902	127.02	0.12786	0.0074015	1.4065	0.71100	17.538	19.196	84.531	34.668	61.650	218.64	1.6483	13.518	0.016065
258.88	23.406	22.823	0.043816	7.2449	7.3475	38.739	41.031	98.523	661.83	0.016081	126.74	0.12771	0.0073743	1.4123	0.70805	17.537	19.195	84.502	34.698	61.778	218.59	1.6462	13.528	0.016089
259.01	23.495	22.808	0.043844	7.2571	7.3601	38.786	41.030	98.606	660.76	0.016261	126.47	0.12755	0.0073472	1.4182	0.70513	17.537	19.193	84.474	34.727	61.907	218.55	1.6440	13.538	0.016114
