Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
286.25	20.000	0.96051	1.0411	18.784	20.866	91.743	31.345	46.359	245.64	1.2288	14.646	0.016969	vapor
286.25	21.000	1.0167	0.98357	18.743	20.809	91.189	31.537	47.083	244.57	1.2296	14.671	0.017068	vapor
286.25	22.000	1.0739	0.93115	18.702	20.750	90.651	31.735	47.843	243.50	1.2304	14.698	0.017171	vapor
286.25	23.000	1.1323	0.88318	18.660	20.691	90.126	31.938	48.642	242.40	1.2312	14.726	0.017280	vapor
286.25	24.000	1.1918	0.83910	18.617	20.630	89.615	32.148	49.483	241.29	1.2320	14.756	0.017394	vapor
286.25	25.000	1.2524	0.79844	18.573	20.569	89.114	32.364	50.371	240.16	1.2328	14.788	0.017514	vapor
286.25	26.000	1.3144	0.76080	18.528	20.506	88.622	32.588	51.309	239.02	1.2335	14.821	0.017641	vapor
286.25	27.000	1.3777	0.72584	18.483	20.442	88.140	32.819	52.302	237.85	1.2342	14.856	0.017775	vapor
286.25	28.000	1.4424	0.69327	18.436	20.377	87.664	33.059	53.357	236.67	1.2349	14.893	0.017917	vapor
286.25	29.000	1.5087	0.66283	18.388	20.311	87.194	33.308	54.479	235.46	1.2355	14.933	0.018067	vapor
286.25	30.000	1.5765	0.63430	18.340	20.242	86.730	33.568	55.676	234.23	1.2361	14.974	0.018227	vapor
286.25	31.000	1.6461	0.60749	18.290	20.173	86.270	33.837	56.956	232.97	1.2366	15.018	0.018397	vapor
286.25	32.000	1.7175	0.58224	18.238	20.102	85.813	34.119	58.329	231.69	1.2371	15.064	0.018578	vapor
286.25	33.000	1.7909	0.55838	18.186	20.028	85.359	34.414	59.807	230.38	1.2375	15.113	0.018772	vapor
286.25	34.000	1.8664	0.53580	18.132	19.953	84.906	34.723	61.404	229.05	1.2379	15.165	0.018981	vapor
286.25	35.000	1.9441	0.51437	18.076	19.876	84.453	35.048	63.135	227.67	1.2381	15.220	0.019205	vapor
286.25	36.000	2.0244	0.49398	18.019	19.797	84.000	35.391	65.021	226.27	1.2382	15.279	0.019446	vapor
286.25	37.000	2.1073	0.47454	17.959	19.715	83.545	35.753	67.084	224.82	1.2382	15.342	0.019709	vapor
286.25	38.000	2.1932	0.45596	17.898	19.631	83.088	36.138	69.355	223.33	1.2381	15.408	0.019994	vapor
286.25	39.000	2.2823	0.43816	17.835	19.543	82.626	36.548	71.868	221.80	1.2378	15.480	0.020306	vapor
286.25	40.000	2.3749	0.42107	17.769	19.453	82.159	36.987	74.670	220.21	1.2374	15.557	0.020649	vapor
286.25	41.000	2.4716	0.40460	17.700	19.359	81.686	37.459	77.817	218.57	1.2367	15.639	0.021028	vapor
286.25	42.000	2.5727	0.38869	17.628	19.260	81.204	37.971	81.386	216.86	1.2358	15.729	0.021449	vapor
286.25	43.000	2.6789	0.37328	17.552	19.157	80.711	38.528	85.476	215.07	1.2346	15.825	0.021922	vapor
286.25	44.000	2.7910	0.35830	17.472	19.049	80.205	39.141	90.224	213.20	1.2330	15.931	0.022458	vapor
286.25	45.000	2.9098	0.34367	17.388	18.934	79.682	39.822	95.822	211.22	1.2310	16.047	0.023071	vapor
286.25	46.000	3.0365	0.32932	17.298	18.813	79.139	40.589	102.55	209.13	1.2284	16.175	0.023783	vapor
286.25	47.000	3.1729	0.31517	17.201	18.682	78.570	41.469	110.84	206.88	1.2251	16.317	0.024625	vapor
286.25	48.000	3.3213	0.30109	17.095	18.540	77.967	42.501	121.40	204.43	1.2208	16.478	0.025645	vapor
286.25	48.584	3.4148	0.29285	17.028	18.451	77.595	43.200	129.08	202.89	1.2178	16.583	0.026351	vapor
286.25	48.584	19.021	0.052574	10.061	10.317	49.179	43.082	142.62	410.31	0.094667	77.520	0.094244	liquid
286.25	49.000	19.039	0.052523	10.054	10.311	49.152	43.024	141.90	412.01	0.093826	77.683	0.094368	liquid
286.25	50.000	19.083	0.052403	10.036	10.298	49.087	42.891	140.24	416.01	0.091871	78.069	0.094663	liquid
286.25	51.000	19.125	0.052287	10.019	10.285	49.025	42.769	138.67	419.88	0.090003	78.447	0.094954	liquid
286.25	52.000	19.166	0.052175	10.002	10.273	48.964	42.655	137.19	423.63	0.088215	78.817	0.095240	liquid
286.25	53.000	19.207	0.052065	9.9853	10.261	48.904	42.549	135.79	427.27	0.086501	79.181	0.095522	liquid
286.25	54.000	19.246	0.051959	9.9691	10.250	48.845	42.451	134.47	430.81	0.084856	79.538	0.095800	liquid
286.25	55.000	19.284	0.051856	9.9532	10.238	48.788	42.359	133.21	434.24	0.083274	79.888	0.096074	liquid
286.25	56.000	19.322	0.051755	9.9377	10.227	48.731	42.273	132.01	437.59	0.081752	80.233	0.096344	liquid
286.25	57.000	19.358	0.051657	9.9224	10.217	48.676	42.192	130.87	440.85	0.080285	80.572	0.096610	liquid
286.25	58.000	19.394	0.051562	9.9074	10.206	48.622	42.116	129.78	444.04	0.078869	80.906	0.096874	liquid
286.25	59.000	19.429	0.051469	9.8927	10.196	48.569	42.045	128.74	447.14	0.077502	81.235	0.097133	liquid
286.25	60.000	19.464	0.051377	9.8782	10.187	48.516	41.978	127.74	450.18	0.076180	81.559	0.097390	liquid
286.25	61.000	19.498	0.051288	9.8640	10.177	48.465	41.915	126.78	453.15	0.074901	81.878	0.097643	liquid
286.25	62.000	19.531	0.051201	9.8501	10.168	48.414	41.855	125.87	456.05	0.073662	82.193	0.097894	liquid
286.25	63.000	19.563	0.051116	9.8363	10.158	48.364	41.799	124.99	458.90	0.072461	82.504	0.098141	liquid
286.25	64.000	19.595	0.051033	9.8228	10.149	48.315	41.746	124.14	461.68	0.071296	82.811	0.098386	liquid
286.25	65.000	19.627	0.050951	9.8095	10.141	48.267	41.695	123.32	464.42	0.070165	83.114	0.098628	liquid
286.25	66.000	19.658	0.050871	9.7963	10.132	48.219	41.647	122.54	467.10	0.069067	83.414	0.098867	liquid
286.25	67.000	19.688	0.050792	9.7834	10.124	48.172	41.602	121.78	469.73	0.067999	83.710	0.099103	liquid
286.25	68.000	19.718	0.050715	9.7707	10.116	48.126	41.559	121.05	472.31	0.066960	84.002	0.099338	liquid
286.25	69.000	19.747	0.050640	9.7581	10.108	48.080	41.517	120.34	474.85	0.065948	84.292	0.099569	liquid
286.25	70.000	19.776	0.050565	9.7457	10.100	48.035	41.478	119.66	477.35	0.064963	84.578	0.099799	liquid
286.25	71.000	19.805	0.050493	9.7335	10.092	47.990	41.441	119.00	479.81	0.064004	84.861	0.10003	liquid
