Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
286.25	72.000	19.833	0.050421	9.7214	10.084	47.946	41.406	118.36	482.22	0.063068	85.142	0.10025	liquid
286.25	73.000	19.861	0.050351	9.7095	10.077	47.903	41.372	117.74	484.60	0.062155	85.419	0.10047	liquid
286.25	74.000	19.888	0.050281	9.6977	10.070	47.860	41.339	117.14	486.94	0.061265	85.694	0.10069	liquid
286.25	75.000	19.915	0.050213	9.6861	10.063	47.818	41.308	116.55	489.25	0.060395	85.966	0.10091	liquid
286.25	76.000	19.942	0.050146	9.6746	10.056	47.776	41.279	115.99	491.52	0.059546	86.236	0.10113	liquid
286.25	77.000	19.968	0.050080	9.6632	10.049	47.734	41.251	115.44	493.76	0.058716	86.503	0.10134	liquid
286.25	78.000	19.994	0.050015	9.6520	10.042	47.693	41.224	114.90	495.97	0.057904	86.768	0.10156	liquid
286.25	79.000	20.019	0.049951	9.6409	10.036	47.653	41.198	114.38	498.14	0.057110	87.031	0.10177	liquid
286.25	80.000	20.045	0.049889	9.6300	10.029	47.613	41.173	113.87	500.29	0.056334	87.291	0.10198	liquid
286.25	81.000	20.070	0.049826	9.6191	10.023	47.573	41.149	113.38	502.41	0.055574	87.549	0.10218	liquid
286.25	82.000	20.094	0.049765	9.6084	10.016	47.534	41.126	112.90	504.51	0.054830	87.805	0.10239	liquid
286.25	83.000	20.119	0.049705	9.5978	10.010	47.495	41.104	112.43	506.58	0.054101	88.059	0.10259	liquid
286.25	84.000	20.143	0.049646	9.5873	10.004	47.457	41.083	111.98	508.62	0.053387	88.311	0.10279	liquid
286.25	85.000	20.167	0.049587	9.5769	9.9984	47.419	41.063	111.53	510.63	0.052687	88.561	0.10299	liquid
286.25	86.000	20.190	0.049529	9.5666	9.9925	47.381	41.044	111.10	512.63	0.052001	88.810	0.10319	liquid
286.25	87.000	20.213	0.049472	9.5564	9.9868	47.344	41.025	110.67	514.60	0.051328	89.056	0.10339	liquid
286.25	88.000	20.236	0.049416	9.5463	9.9812	47.307	41.007	110.26	516.55	0.050668	89.301	0.10359	liquid
286.25	89.000	20.259	0.049360	9.5363	9.9756	47.270	40.990	109.86	518.47	0.050021	89.544	0.10378	liquid
286.25	90.000	20.282	0.049306	9.5264	9.9702	47.234	40.973	109.46	520.38	0.049385	89.785	0.10398	liquid
286.25	91.000	20.304	0.049251	9.5166	9.9648	47.198	40.957	109.08	522.26	0.048761	90.024	0.10417	liquid
286.25	92.000	20.326	0.049198	9.5069	9.9596	47.162	40.942	108.70	524.12	0.048149	90.262	0.10436	liquid
286.25	93.000	20.348	0.049145	9.4973	9.9544	47.127	40.927	108.33	525.97	0.047547	90.499	0.10455	liquid
286.25	94.000	20.370	0.049093	9.4878	9.9493	47.092	40.913	107.97	527.80	0.046955	90.734	0.10473	liquid
286.25	95.000	20.391	0.049041	9.4783	9.9442	47.057	40.899	107.62	529.60	0.046374	90.967	0.10492	liquid
286.25	96.000	20.412	0.048990	9.4690	9.9393	47.023	40.886	107.27	531.39	0.045803	91.199	0.10511	liquid
286.25	97.000	20.433	0.048940	9.4597	9.9344	46.989	40.873	106.93	533.17	0.045242	91.430	0.10529	liquid
286.25	98.000	20.454	0.048890	9.4505	9.9296	46.955	40.861	106.60	534.92	0.044689	91.659	0.10547	liquid
286.25	99.000	20.475	0.048841	9.4413	9.9249	46.921	40.849	106.27	536.66	0.044146	91.887	0.10565	liquid
286.25	100.00	20.495	0.048792	9.4323	9.9202	46.888	40.837	105.95	538.38	0.043612	92.113	0.10584	liquid
286.25	101.00	20.515	0.048744	9.4233	9.9156	46.855	40.826	105.64	540.09	0.043086	92.338	0.10601	liquid
286.25	102.00	20.535	0.048696	9.4144	9.9111	46.822	40.816	105.33	541.78	0.042569	92.562	0.10619	liquid
286.25	103.00	20.555	0.048649	9.4056	9.9067	46.790	40.805	105.03	543.46	0.042060	92.785	0.10637	liquid
286.25	104.00	20.575	0.048603	9.3968	9.9023	46.757	40.795	104.74	545.12	0.041558	93.006	0.10655	liquid
286.25	105.00	20.595	0.048557	9.3881	9.8980	46.725	40.786	104.45	546.77	0.041064	93.226	0.10672	liquid
286.25	106.00	20.614	0.048511	9.3795	9.8937	46.693	40.776	104.16	548.40	0.040578	93.445	0.10689	liquid
286.25	107.00	20.633	0.048466	9.3709	9.8895	46.662	40.767	103.88	550.02	0.040099	93.663	0.10707	liquid
286.25	108.00	20.652	0.048421	9.3624	9.8854	46.630	40.759	103.61	551.63	0.039627	93.880	0.10724	liquid
286.25	109.00	20.671	0.048377	9.3540	9.8813	46.599	40.750	103.34	553.22	0.039162	94.095	0.10741	liquid
286.25	110.00	20.690	0.048333	9.3456	9.8773	46.568	40.742	103.07	554.80	0.038704	94.310	0.10758	liquid
286.25	111.00	20.708	0.048289	9.3373	9.8733	46.538	40.734	102.81	556.37	0.038252	94.523	0.10775	liquid
286.25	112.00	20.727	0.048246	9.3290	9.8694	46.507	40.727	102.55	557.93	0.037807	94.736	0.10792	liquid
286.25	113.00	20.745	0.048204	9.3208	9.8656	46.477	40.720	102.30	559.47	0.037368	94.947	0.10809	liquid
286.25	114.00	20.763	0.048162	9.3127	9.8618	46.447	40.712	102.06	561.01	0.036935	95.158	0.10825	liquid
286.25	115.00	20.781	0.048120	9.3046	9.8580	46.417	40.706	101.81	562.53	0.036508	95.367	0.10842	liquid
286.25	116.00	20.799	0.048079	9.2966	9.8543	46.387	40.699	101.57	564.04	0.036087	95.576	0.10858	liquid
286.25	117.00	20.817	0.048038	9.2886	9.8507	46.358	40.693	101.34	565.54	0.035671	95.783	0.10874	liquid
286.25	118.00	20.835	0.047997	9.2807	9.8471	46.328	40.686	101.10	567.03	0.035261	95.990	0.10891	liquid
286.25	119.00	20.852	0.047957	9.2729	9.8436	46.299	40.680	100.88	568.50	0.034856	96.196	0.10907	liquid
286.25	120.00	20.870	0.047917	9.2651	9.8401	46.270	40.675	100.65	569.97	0.034457	96.400	0.10923	liquid
