Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
294.65	51.000	3.2431	0.30835	17.492	19.065	79.460	39.665	96.927	214.02	1.1206	16.802	0.024629	vapor
294.65	52.000	3.3679	0.29692	17.409	18.953	78.979	40.249	102.58	212.26	1.1169	16.939	0.025299	vapor
294.65	53.000	3.5006	0.28567	17.322	18.836	78.479	40.893	109.24	210.41	1.1125	17.090	0.026062	vapor
294.65	54.000	3.6426	0.27453	17.228	18.710	77.958	41.612	117.23	208.45	1.1075	17.257	0.026944	vapor
294.65	55.000	3.7960	0.26344	17.126	18.575	77.410	42.425	127.06	206.36	1.1015	17.444	0.027978	vapor
294.65	56.000	3.9633	0.25232	17.016	18.429	76.827	43.362	139.50	204.10	1.0944	17.655	0.029216	vapor
294.65	57.000	4.1485	0.24105	16.895	18.269	76.198	44.471	155.90	201.62	1.0856	17.898	0.030741	vapor
294.65	58.000	4.3578	0.22947	16.758	18.089	75.507	45.834	178.82	198.82	1.0746	18.183	0.032696	vapor
294.65	59.000	4.6017	0.21731	16.598	17.880	74.725	47.621	213.92	195.55	1.0602	18.532	0.035370	vapor
294.65	59.336	4.6947	0.21301	16.538	17.802	74.433	48.377	230.60	194.28	1.0542	18.669	0.036531	vapor
294.65	59.336	17.193	0.058162	11.146	11.492	53.017	45.032	205.87	320.15	0.16755	63.554	0.083945	liquid
294.65	60.000	17.259	0.057941	11.122	11.469	52.928	44.814	200.19	324.77	0.16317	63.998	0.084170	liquid
294.65	61.000	17.352	0.057631	11.086	11.438	52.802	44.527	192.79	331.27	0.15718	64.633	0.084518	liquid
294.65	62.000	17.438	0.057344	11.053	11.409	52.683	44.277	186.45	337.33	0.15178	65.234	0.084873	liquid
294.65	63.000	17.520	0.057077	11.021	11.381	52.571	44.055	180.93	343.02	0.14687	65.806	0.085228	liquid
294.65	64.000	17.597	0.056827	10.992	11.355	52.464	43.856	176.08	348.41	0.14236	66.353	0.085583	liquid
294.65	65.000	17.671	0.056591	10.963	11.331	52.362	43.676	171.76	353.53	0.13820	66.877	0.085935	liquid
294.65	66.000	17.740	0.056368	10.936	11.308	52.264	43.512	167.88	358.42	0.13433	67.381	0.086284	liquid
294.65	67.000	17.807	0.056157	10.909	11.286	52.170	43.360	164.37	363.11	0.13072	67.868	0.086628	liquid
294.65	68.000	17.871	0.055956	10.884	11.265	52.080	43.221	161.17	367.62	0.12734	68.338	0.086968	liquid
294.65	69.000	17.933	0.055764	10.860	11.245	51.993	43.091	158.24	371.97	0.12417	68.795	0.087303	liquid
294.65	70.000	17.992	0.055581	10.836	11.225	51.909	42.970	155.55	376.17	0.12117	69.237	0.087633	liquid
294.65	71.000	18.049	0.055405	10.814	11.207	51.827	42.857	153.05	380.23	0.11833	69.668	0.087958	liquid
294.65	72.000	18.104	0.055236	10.791	11.189	51.748	42.752	150.74	384.17	0.11565	70.088	0.088278	liquid
294.65	73.000	18.158	0.055073	10.770	11.172	51.671	42.652	148.58	388.00	0.11309	70.497	0.088593	liquid
294.65	74.000	18.209	0.054917	10.749	11.156	51.597	42.559	146.57	391.71	0.11066	70.896	0.088904	liquid
294.65	75.000	18.260	0.054766	10.729	11.140	51.524	42.471	144.68	395.33	0.10834	71.287	0.089210	liquid
294.65	76.000	18.308	0.054620	10.709	11.124	51.453	42.388	142.90	398.85	0.10612	71.669	0.089511	liquid
294.65	77.000	18.356	0.054478	10.690	11.109	51.384	42.310	141.23	402.29	0.10399	72.043	0.089808	liquid
294.65	78.000	18.402	0.054341	10.671	11.095	51.316	42.236	139.65	405.64	0.10196	72.410	0.090101	liquid
294.65	79.000	18.447	0.054208	10.653	11.081	51.250	42.165	138.15	408.92	0.10000	72.770	0.090390	liquid
294.65	80.000	18.491	0.054080	10.635	11.067	51.186	42.098	136.73	412.13	0.098119	73.124	0.090675	liquid
294.65	81.000	18.534	0.053954	10.617	11.054	51.122	42.035	135.38	415.26	0.096308	73.471	0.090956	liquid
294.65	82.000	18.576	0.053832	10.600	11.041	51.060	41.974	134.10	418.33	0.094563	73.812	0.091233	liquid
294.65	83.000	18.617	0.053714	10.583	11.029	51.000	41.917	132.88	421.34	0.092880	74.148	0.091507	liquid
294.65	84.000	18.657	0.053598	10.566	11.016	50.940	41.862	131.71	424.28	0.091255	74.479	0.091777	liquid
294.65	85.000	18.697	0.053486	10.550	11.005	50.882	41.809	130.59	427.18	0.089684	74.804	0.092044	liquid
294.65	86.000	18.735	0.053376	10.534	10.993	50.824	41.759	129.52	430.01	0.088165	75.125	0.092307	liquid
294.65	87.000	18.773	0.053268	10.518	10.982	50.768	41.712	128.50	432.80	0.086693	75.441	0.092567	liquid
294.65	88.000	18.810	0.053164	10.503	10.971	50.713	41.666	127.52	435.54	0.085268	75.752	0.092825	liquid
294.65	89.000	18.846	0.053061	10.488	10.960	50.658	41.622	126.57	438.23	0.083885	76.060	0.093079	liquid
294.65	90.000	18.882	0.052961	10.473	10.949	50.605	41.580	125.66	440.87	0.082544	76.363	0.093330	liquid
294.65	91.000	18.917	0.052863	10.458	10.939	50.552	41.540	124.79	443.48	0.081241	76.663	0.093578	liquid
294.65	92.000	18.951	0.052767	10.444	10.929	50.500	41.502	123.95	446.04	0.079975	76.959	0.093824	liquid
294.65	93.000	18.985	0.052673	10.430	10.919	50.449	41.465	123.14	448.56	0.078745	77.251	0.094067	liquid
294.65	94.000	19.018	0.052581	10.416	10.910	50.398	41.429	122.35	451.04	0.077548	77.540	0.094308	liquid
294.65	95.000	19.051	0.052490	10.402	10.900	50.349	41.395	121.60	453.49	0.076382	77.825	0.094546	liquid
294.65	96.000	19.083	0.052402	10.388	10.891	50.300	41.362	120.86	455.90	0.075247	78.108	0.094781	liquid
294.65	97.000	19.115	0.052315	10.375	10.882	50.251	41.331	120.16	458.27	0.074142	78.387	0.095014	liquid
294.65	98.000	19.146	0.052230	10.362	10.873	50.204	41.300	119.47	460.62	0.073064	78.664	0.095245	liquid
294.65	99.000	19.177	0.052146	10.349	10.865	50.157	41.271	118.81	462.93	0.072012	78.937	0.095474	liquid
294.65	100.00	19.207	0.052064	10.336	10.856	50.110	41.243	118.16	465.21	0.070986	79.208	0.095700	liquid
294.65	101.00	19.237	0.051983	10.323	10.848	50.064	41.216	117.54	467.46	0.069985	79.476	0.095925	liquid
294.65	102.00	19.267	0.051903	10.310	10.840	50.019	41.190	116.94	469.68	0.069007	79.742	0.096147	liquid
294.65	103.00	19.296	0.051825	10.298	10.832	49.974	41.164	116.35	471.87	0.068051	80.005	0.096367	liquid
294.65	104.00	19.324	0.051748	10.286	10.824	49.930	41.140	115.78	474.04	0.067117	80.265	0.096586	liquid
294.65	105.00	19.353	0.051673	10.274	10.816	49.886	41.117	115.22	476.18	0.066204	80.523	0.096802	liquid
294.65	106.00	19.380	0.051598	10.262	10.809	49.843	41.094	114.68	478.29	0.065310	80.779	0.097016	liquid
294.65	107.00	19.408	0.051525	10.250	10.801	49.801	41.072	114.16	480.38	0.064436	81.033	0.097229	liquid
294.65	108.00	19.435	0.051453	10.238	10.794	49.758	41.051	113.64	482.45	0.063581	81.285	0.097440	liquid
294.65	109.00	19.462	0.051382	10.227	10.787	49.717	41.030	113.15	484.49	0.062743	81.534	0.097649	liquid
294.65	110.00	19.489	0.051312	10.215	10.780	49.675	41.011	112.66	486.51	0.061923	81.782	0.097856	liquid
294.65	111.00	19.515	0.051243	10.204	10.773	49.634	40.992	112.19	488.51	0.061119	82.027	0.098062	liquid
294.65	112.00	19.541	0.051175	10.193	10.766	49.594	40.973	111.73	490.48	0.060331	82.271	0.098266	liquid
294.65	113.00	19.566	0.051108	10.182	10.759	49.554	40.955	111.28	492.44	0.059559	82.513	0.098469	liquid
294.65	114.00	19.592	0.051042	10.171	10.753	49.514	40.938	110.84	494.37	0.058802	82.753	0.098670	liquid
294.65	115.00	19.617	0.050977	10.160	10.746	49.475	40.921	110.41	496.29	0.058059	82.991	0.098869	liquid
294.65	116.00	19.641	0.050913	10.149	10.740	49.436	40.905	109.99	498.18	0.057330	83.227	0.099067	liquid
294.65	117.00	19.666	0.050850	10.139	10.734	49.398	40.889	109.58	500.06	0.056615	83.462	0.099264	liquid
294.65	118.00	19.690	0.050787	10.128	10.728	49.359	40.874	109.18	501.92	0.055913	83.695	0.099459	liquid
294.65	119.00	19.714	0.050725	10.118	10.722	49.322	40.859	108.79	503.76	0.055224	83.927	0.099653	liquid
294.65	120.00	19.738	0.050664	10.108	10.716	49.284	40.845	108.40	505.58	0.054547	84.157	0.099845	liquid
