Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
294.65	20.000	0.91947	1.0876	19.076	21.251	93.069	31.288	45.384	250.94	1.1370	15.037	0.017551	vapor
294.65	21.000	0.97222	1.0286	19.039	21.199	92.534	31.444	45.973	250.01	1.1375	15.060	0.017639	vapor
294.65	22.000	1.0258	0.97486	19.002	21.147	92.015	31.604	46.585	249.06	1.1380	15.085	0.017730	vapor
294.65	23.000	1.0802	0.92574	18.964	21.093	91.512	31.768	47.223	248.11	1.1384	15.111	0.017825	vapor
294.65	24.000	1.1355	0.88064	18.925	21.039	91.021	31.936	47.888	247.14	1.1388	15.138	0.017925	vapor
294.65	25.000	1.1918	0.83907	18.886	20.984	90.543	32.107	48.582	246.16	1.1392	15.166	0.018029	vapor
294.65	26.000	1.2490	0.80062	18.847	20.928	90.076	32.283	49.308	245.18	1.1396	15.196	0.018137	vapor
294.65	27.000	1.3073	0.76495	18.806	20.872	89.618	32.463	50.068	244.18	1.1399	15.227	0.018250	vapor
294.65	28.000	1.3666	0.73174	18.765	20.814	89.169	32.649	50.864	243.16	1.1402	15.260	0.018369	vapor
294.65	29.000	1.4270	0.70075	18.723	20.756	88.727	32.839	51.699	242.14	1.1404	15.294	0.018493	vapor
294.65	30.000	1.4886	0.67175	18.681	20.696	88.293	33.034	52.577	241.10	1.1406	15.330	0.018624	vapor
294.65	31.000	1.5515	0.64454	18.638	20.636	87.864	33.236	53.501	240.05	1.1408	15.368	0.018761	vapor
294.65	32.000	1.6156	0.61896	18.593	20.574	87.441	33.443	54.476	238.98	1.1409	15.408	0.018905	vapor
294.65	33.000	1.6811	0.59484	18.548	20.511	87.022	33.657	55.506	237.89	1.1409	15.450	0.019058	vapor
294.65	34.000	1.7481	0.57206	18.502	20.447	86.607	33.878	56.596	236.79	1.1409	15.494	0.019218	vapor
294.65	35.000	1.8166	0.55049	18.455	20.382	86.195	34.107	57.752	235.67	1.1409	15.540	0.019388	vapor
294.65	36.000	1.8867	0.53004	18.408	20.316	85.786	34.343	58.981	234.54	1.1407	15.589	0.019567	vapor
294.65	37.000	1.9585	0.51060	18.358	20.248	85.378	34.589	60.290	233.38	1.1405	15.640	0.019757	vapor
294.65	38.000	2.0321	0.49210	18.308	20.178	84.972	34.844	61.688	232.20	1.1401	15.694	0.019960	vapor
294.65	39.000	2.1077	0.47444	18.257	20.107	84.567	35.110	63.186	231.00	1.1397	15.751	0.020175	vapor
294.65	40.000	2.1854	0.45757	18.204	20.034	84.161	35.387	64.796	229.78	1.1392	15.812	0.020405	vapor
294.65	41.000	2.2654	0.44142	18.149	19.959	83.755	35.676	66.531	228.53	1.1385	15.876	0.020651	vapor
294.65	42.000	2.3478	0.42594	18.094	19.882	83.347	35.979	68.407	227.25	1.1377	15.943	0.020915	vapor
294.65	43.000	2.4328	0.41105	18.036	19.804	82.937	36.298	70.445	225.95	1.1367	16.015	0.021200	vapor
294.65	44.000	2.5206	0.39673	17.977	19.722	82.524	36.632	72.668	224.61	1.1356	16.092	0.021506	vapor
294.65	45.000	2.6116	0.38291	17.915	19.638	82.108	36.986	75.104	223.23	1.1343	16.173	0.021838	vapor
294.65	46.000	2.7059	0.36956	17.852	19.552	81.686	37.361	77.788	221.82	1.1327	16.260	0.022200	vapor
294.65	47.000	2.8040	0.35664	17.786	19.462	81.258	37.759	80.764	220.37	1.1309	16.353	0.022594	vapor
294.65	48.000	2.9062	0.34409	17.717	19.369	80.823	38.184	84.085	218.87	1.1289	16.453	0.023027	vapor
294.65	49.000	3.0131	0.33189	17.646	19.272	80.380	38.640	87.822	217.31	1.1265	16.560	0.023505	vapor
294.65	50.000	3.1251	0.31999	17.571	19.171	79.926	39.132	92.062	215.70	1.1237	16.676	0.024036	vapor
