Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
304.18	57.000	3.4718	0.28803	17.719	19.361	79.852	38.899	91.779	219.84	1.0119	17.519	0.025615	vapor
304.18	58.000	3.5852	0.27893	17.649	19.267	79.448	39.286	95.628	218.50	1.0080	17.651	0.026151	vapor
304.18	59.000	3.7037	0.27000	17.575	19.168	79.034	39.698	99.934	217.13	1.0037	17.792	0.026739	vapor
304.18	60.000	3.8280	0.26123	17.498	19.066	78.610	40.138	104.79	215.72	0.99890	17.945	0.027385	vapor
304.18	61.000	3.9589	0.25259	17.418	18.959	78.174	40.610	110.31	214.25	0.99360	18.111	0.028099	vapor
304.18	62.000	4.0973	0.24406	17.333	18.846	77.723	41.120	116.66	212.73	0.98768	18.291	0.028895	vapor
304.18	63.000	4.2442	0.23561	17.244	18.728	77.255	41.673	124.03	211.15	0.98103	18.489	0.029788	vapor
304.18	64.000	4.4012	0.22721	17.148	18.603	76.766	42.280	132.72	209.49	0.97354	18.706	0.030799	vapor
304.18	65.000	4.5700	0.21882	17.047	18.469	76.254	42.949	143.14	207.74	0.96504	18.948	0.031955	vapor
304.18	66.000	4.7530	0.21039	16.937	18.326	75.712	43.697	155.89	205.89	0.95531	19.219	0.033294	vapor
304.18	67.000	4.9537	0.20187	16.818	18.170	75.134	44.545	171.89	203.89	0.94406	19.526	0.034872	vapor
304.18	68.000	5.1767	0.19317	16.686	18.000	74.509	45.522	192.64	201.73	0.93089	19.882	0.036769	vapor
304.18	69.000	5.4293	0.18419	16.539	17.810	73.822	46.675	220.81	199.32	0.91518	20.301	0.039118	vapor
304.18	70.000	5.7228	0.17474	16.369	17.593	73.049	48.082	261.56	196.58	0.89598	20.811	0.042148	vapor
304.18	71.000	6.0784	0.16452	16.167	17.335	72.147	49.893	326.64	193.33	0.87158	21.462	0.046316	vapor
304.18	72.000	6.5410	0.15288	15.909	17.010	71.024	52.454	450.53	189.12	0.83832	22.361	0.052754	vapor
304.18	73.000	7.2500	0.13793	15.525	16.532	69.405	57.058	807.08	182.44	0.78507	23.859	0.065864	vapor
304.18	74.000	12.682	0.078855	13.202	13.785	60.335	66.959	2665.8	165.06	0.47629	40.473	0.10602	vapor
304.18	74.000	12.682	0.078855	13.202	13.785	60.335	66.959	2665.8	165.06	0.47629	40.473	0.10602	supercritical
304.18	74.000	12.682	0.078855	13.202	13.785	60.335	66.959	2665.8	165.06	0.47629	40.473	0.10602	supercritical
304.18	75.000	13.908	0.071899	12.781	13.320	58.782	52.651	669.37	211.52	0.36309	45.712	0.082174	supercritical
304.18	76.000	14.408	0.069404	12.605	13.132	58.142	49.998	466.23	230.30	0.31991	48.049	0.078879	supercritical
304.18	77.000	14.751	0.067790	12.483	13.005	57.700	48.640	378.50	243.70	0.29164	49.727	0.077626	supercritical
304.18	78.000	15.018	0.066586	12.387	12.906	57.354	47.725	327.67	254.71	0.27046	51.077	0.077111	supercritical
304.18	79.000	15.239	0.065622	12.307	12.825	57.065	47.030	293.86	264.29	0.25353	52.224	0.076954	supercritical
304.18	80.000	15.428	0.064816	12.237	12.756	56.816	46.467	269.46	272.88	0.23947	53.232	0.076995	supercritical
304.18	81.000	15.595	0.064123	12.176	12.695	56.596	45.994	250.89	280.71	0.22750	54.137	0.077154	supercritical
304.18	82.000	15.744	0.063515	12.120	12.641	56.397	45.589	236.19	287.94	0.21709	54.964	0.077386	supercritical
304.18	83.000	15.880	0.062973	12.070	12.592	56.215	45.235	224.22	294.68	0.20793	55.727	0.077664	supercritical
304.18	84.000	16.004	0.062483	12.023	12.548	56.048	44.923	214.25	300.99	0.19975	56.438	0.077972	supercritical
304.18	85.000	16.120	0.062036	11.979	12.506	55.892	44.644	205.78	306.93	0.19239	57.106	0.078299	supercritical
304.18	86.000	16.227	0.061625	11.938	12.468	55.746	44.395	198.48	312.56	0.18571	57.738	0.078638	supercritical
304.18	87.000	16.328	0.061244	11.900	12.433	55.609	44.169	192.12	317.91	0.17960	58.337	0.078984	supercritical
304.18	88.000	16.423	0.060890	11.863	12.399	55.479	43.965	186.50	323.02	0.17398	58.909	0.079333	supercritical
304.18	89.000	16.513	0.060558	11.829	12.368	55.355	43.778	181.51	327.90	0.16878	59.457	0.079683	supercritical
304.18	90.000	16.598	0.060247	11.796	12.338	55.238	43.607	177.02	332.59	0.16395	59.983	0.080032	supercritical
304.18	91.000	16.680	0.059952	11.764	12.309	55.125	43.449	172.97	337.09	0.15945	60.490	0.080380	supercritical
304.18	92.000	16.758	0.059674	11.734	12.283	55.017	43.304	169.28	341.43	0.15523	60.979	0.080725	supercritical
304.18	93.000	16.832	0.059409	11.704	12.257	54.913	43.169	165.91	345.63	0.15126	61.453	0.081067	supercritical
304.18	94.000	16.904	0.059157	11.676	12.232	54.812	43.044	162.82	349.69	0.14753	61.912	0.081405	supercritical
304.18	95.000	16.973	0.058917	11.649	12.209	54.716	42.928	159.96	353.62	0.14400	62.357	0.081739	supercritical
304.18	96.000	17.040	0.058687	11.623	12.186	54.622	42.819	157.31	357.43	0.14066	62.791	0.082070	supercritical
304.18	97.000	17.104	0.058466	11.597	12.165	54.532	42.717	154.85	361.14	0.13748	63.213	0.082396	supercritical
304.18	98.000	17.166	0.058255	11.573	12.144	54.444	42.621	152.55	364.75	0.13446	63.625	0.082718	supercritical
304.18	99.000	17.226	0.058051	11.549	12.123	54.358	42.532	150.39	368.27	0.13158	64.027	0.083035	supercritical
304.18	100.00	17.284	0.057855	11.525	12.104	54.275	42.447	148.37	371.70	0.12883	64.419	0.083349	supercritical
304.18	101.00	17.341	0.057666	11.503	12.085	54.195	42.367	146.47	375.05	0.12619	64.804	0.083658	supercritical
304.18	102.00	17.396	0.057484	11.481	12.067	54.116	42.292	144.68	378.32	0.12367	65.180	0.083964	supercritical
304.18	103.00	17.450	0.057307	11.459	12.049	54.039	42.220	142.98	381.53	0.12125	65.548	0.084265	supercritical
304.18	104.00	17.502	0.057136	11.438	12.032	53.964	42.152	141.38	384.66	0.11893	65.910	0.084562	supercritical
304.18	105.00	17.553	0.056971	11.418	12.016	53.891	42.088	139.85	387.73	0.11669	66.265	0.084856	supercritical
304.18	106.00	17.602	0.056810	11.398	12.000	53.819	42.027	138.40	390.74	0.11454	66.613	0.085146	supercritical
304.18	107.00	17.651	0.056654	11.378	11.984	53.749	41.969	137.02	393.69	0.11247	66.956	0.085432	supercritical
304.18	108.00	17.698	0.056503	11.359	11.969	53.681	41.913	135.70	396.59	0.11046	67.292	0.085714	supercritical
304.18	109.00	17.744	0.056356	11.340	11.954	53.614	41.860	134.45	399.44	0.10853	67.623	0.085993	supercritical
304.18	110.00	17.790	0.056212	11.321	11.940	53.548	41.809	133.25	402.24	0.10666	67.949	0.086269	supercritical
304.18	111.00	17.834	0.056073	11.303	11.926	53.483	41.761	132.09	404.99	0.10485	68.270	0.086541	supercritical
304.18	112.00	17.877	0.055937	11.286	11.912	53.420	41.714	130.99	407.69	0.10310	68.587	0.086810	supercritical
304.18	113.00	17.920	0.055804	11.268	11.899	53.358	41.670	129.93	410.35	0.10140	68.898	0.087076	supercritical
304.18	114.00	17.961	0.055675	11.251	11.886	53.296	41.627	128.91	412.97	0.099754	69.206	0.087339	supercritical
304.18	115.00	18.002	0.055548	11.234	11.873	53.236	41.586	127.93	415.55	0.098156	69.509	0.087599	supercritical
304.18	116.00	18.042	0.055425	11.218	11.861	53.177	41.547	126.99	418.10	0.096605	69.808	0.087856	supercritical
304.18	117.00	18.082	0.055304	11.201	11.848	53.119	41.509	126.08	420.60	0.095098	70.104	0.088111	supercritical
304.18	118.00	18.120	0.055186	11.185	11.837	53.062	41.473	125.21	423.07	0.093632	70.395	0.088362	supercritical
304.18	119.00	18.158	0.055071	11.170	11.825	53.006	41.438	124.36	425.51	0.092207	70.683	0.088611	supercritical
304.18	120.00	18.196	0.054958	11.154	11.814	52.951	41.404	123.54	427.91	0.090819	70.968	0.088858	supercritical
