Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
304.18	40.000	2.0240	0.49407	18.643	20.620	86.118	34.422	58.679	238.84	1.0427	16.150	0.020557	vapor
304.18	41.000	2.0926	0.47787	18.599	20.558	85.755	34.618	59.767	237.85	1.0419	16.202	0.020734	vapor
304.18	42.000	2.1627	0.46238	18.553	20.495	85.394	34.819	60.915	236.85	1.0411	16.256	0.020921	vapor
304.18	43.000	2.2344	0.44756	18.507	20.431	85.034	35.026	62.128	235.84	1.0403	16.313	0.021118	vapor
304.18	44.000	2.3077	0.43334	18.459	20.366	84.675	35.240	63.412	234.82	1.0393	16.372	0.021325	vapor
304.18	45.000	2.3827	0.41969	18.411	20.299	84.316	35.461	64.775	233.78	1.0382	16.435	0.021544	vapor
304.18	46.000	2.4596	0.40657	18.361	20.231	83.957	35.689	66.224	232.72	1.0369	16.500	0.021775	vapor
304.18	47.000	2.5384	0.39394	18.310	20.162	83.597	35.925	67.768	231.65	1.0356	16.569	0.022020	vapor
304.18	48.000	2.6194	0.38177	18.258	20.091	83.236	36.169	69.417	230.57	1.0341	16.642	0.022280	vapor
304.18	49.000	2.7025	0.37002	18.205	20.018	82.874	36.422	71.183	229.46	1.0325	16.719	0.022557	vapor
304.18	50.000	2.7881	0.35867	18.151	19.944	82.509	36.686	73.079	228.34	1.0307	16.800	0.022851	vapor
304.18	51.000	2.8762	0.34768	18.094	19.868	82.142	36.960	75.122	227.20	1.0287	16.885	0.023166	vapor
304.18	52.000	2.9671	0.33703	18.037	19.789	81.772	37.246	77.329	226.04	1.0265	16.975	0.023502	vapor
304.18	53.000	3.0610	0.32669	17.977	19.709	81.399	37.545	79.724	224.85	1.0241	17.071	0.023863	vapor
304.18	54.000	3.1581	0.31665	17.916	19.626	81.021	37.858	82.331	223.64	1.0215	17.173	0.024252	vapor
304.18	55.000	3.2587	0.30687	17.853	19.541	80.637	38.187	85.183	222.40	1.0186	17.281	0.024670	vapor
304.18	56.000	3.3631	0.29734	17.787	19.452	80.248	38.533	88.317	221.14	1.0154	17.396	0.025123	vapor
